;$FILEVERSION=1.1
;$STARTTIME=45565.4446938773
;
;   Start time: 9/30/2024 10:40:21.551.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   360)      5257.5  Rx         03FA  8  27 7A 01 00 5D FE FF FF
   361)      5257.9  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   362)      5300.3  Rx         0603  8  03 16 29 41 14 F9 3E 40
   363)      5300.5  Rx         0613  8  8D 0D 27 41 B1 B4 41 40
   364)      5358.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   365)      5359.0  Rx         03FA  8  27 7A 01 00 50 FE FF FF
   366)      5359.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   367)      5359.6  Rx         03F9  8  E2 00 E5 00 02 00 03 00
   368)      5359.9  Rx         0300  8  05 50 00 00 AB 0D 00 00
   369)      5360.2  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   370)      5360.5  Rx         03F7  8  5C 04 00 00 D9 00 01 00
   371)      5360.8  Rx         03F4  8  18 D2 CB 41 34 3D F0 3E
   372)      5361.1  Rx         03F5  8  00 00 00 00 00 00 00 00
   373)      5361.4  Rx         03FC  8  BA 09 F6 09 BF 03 1F 00
   374)      5361.8  Rx         03FD  8  80 00 00 00 00 00 00 00
   375)      5380.6  Rx         0604  8  CD CC E2 42 00 00 E0 40
   376)      5380.8  Rx         0614  8  CD CC E2 42 00 00 E0 40
   377)      5458.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   378)      5458.7  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   379)      5459.0  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   380)      5461.0  Rx         0605  8  00 00 00 08 05 01 80 09
   381)      5461.2  Rx         0615  8  00 00 00 08 00 01 80 09
   382)      5541.3  Rx         0606  8  DD C1 E2 42 9E 38 BD 41
   383)      5541.5  Rx         0616  8  E2 F5 E2 42 47 45 BC 41
   384)      5559.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   385)      5559.3  Rx         03FA  8  27 7A 01 00 53 FE FF FF
   386)      5559.6  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   387)      5618.1  Rx         0304  8  CB 0E 00 00 F2 00 E2 00
   388)      5619.1  Rx         0307  8  D1 0E 00 00 E8 00 E5 00
   389)      5620.0  Rx         0305  8  13 0E 0A 0E 12 0E 21 0E
   390)      5621.0  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   391)      5621.9  Rx         0306  8  13 0E 28 0E 0F 0E 14 0E
   392)      5622.9  Rx         0301  8  52 12 00 00 00 01 E4 00
   393)      5623.8  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   394)      5624.7  Rx         0302  8  13 0E 14 0E 12 0E 15 0E
   395)      5625.7  Rx         030A  8  DF 0F 00 00 CC 00 E4 00
   396)      5626.7  Rx         0303  8  14 0E 17 0E 00 80 00 80
   397)      5627.6  Rx         030B  8  16 0E 19 0E 14 0E 18 0E
   398)      5628.6  Rx         030C  8  18 0E 00 80 00 80 00 80
   399)      5659.6  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   400)      5659.9  Rx         03FA  8  27 7A 01 00 5B FE FF FF
   401)      5660.2  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   402)      5760.1  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   403)      5760.4  Rx         03FA  8  27 7A 01 00 5B FE FF FF
   404)      5760.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   405)      5860.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   406)      5861.0  Rx         03FA  8  27 7A 01 00 50 FE FF FF
   407)      5861.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   408)      5862.7  Rx         0600  8  5F 13 49 42 44 F7 87 3C
   409)      5862.9  Rx         0610  8  AB 2A 68 42 A7 F5 75 3C
   410)      5943.0  Rx         0601  8  62 BE E2 42 F9 25 F1 3B
   411)      5943.2  Rx         0611  8  2A 01 E3 42 81 8D FB 3B
   412)      5961.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   413)      5961.5  Rx         03FA  8  27 7A 01 00 53 FE FF FF
   414)      5961.8  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   415)      6023.4  Rx         0602  8  52 36 C5 41 17 4A D7 41
   416)      6023.6  Rx         0612  8  86 5B C5 41 38 4C F9 41
   417)      6061.8  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   418)      6062.1  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   419)      6062.4  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   420)      6103.7  Rx         0603  8  DB 6F 29 41 07 FF 3E 40
   421)      6103.9  Rx         0613  8  75 7C 27 41 F4 B0 41 40
   422)      6162.3  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   423)      6162.6  Rx         03FA  8  27 7A 01 00 51 FE FF FF
   424)      6162.9  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   425)      6184.1  Rx         0604  8  CD CC E2 42 00 00 E0 40
   426)      6184.3  Rx         0614  8  CD CC E2 42 00 00 E0 40
   427)      6262.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   428)      6263.2  Rx         03FA  8  27 7A 01 00 54 FE FF FF
   429)      6263.5  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   430)      6264.4  Rx         0605  8  00 00 00 08 05 01 80 0A
   431)      6264.7  Rx         0615  8  00 00 00 08 00 01 80 0A
   432)      6344.7  Rx         0606  8  B8 F2 E2 42 0D 36 BD 41
   433)      6345.0  Rx         0616  8  42 26 E3 42 CB 45 BC 41
   434)      6364.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   435)      6364.7  Rx         03FA  8  37 7A 01 00 4F FE FF FF
   436)      6365.0  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   437)      6365.3  Rx         03F9  8  E2 00 E5 00 02 00 03 00
   438)      6365.6  Rx         0300  8  05 50 00 00 AB 0D 00 00
   439)      6365.9  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   440)      6366.2  Rx         03F7  8  5C 04 00 00 DA 00 01 00
   441)      6366.5  Rx         03F4  8  56 D2 CB 41 E2 3C F0 3E
   442)      6366.8  Rx         03F5  8  00 00 00 00 00 00 00 00
   443)      6367.1  Rx         03FC  8  BA 09 F6 09 AE 03 1F 00
   444)      6367.4  Rx         03FD  8  80 00 00 00 00 00 00 00
   445)      6464.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   446)      6464.4  Rx         03FA  8  27 7A 01 00 57 FE FF FF
   447)      6464.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   448)      6506.9  Rx         0304  8  CB 0E 00 00 F1 00 E2 00
   449)      6507.9  Rx         0307  8  D1 0E 00 00 E7 00 E5 00
   450)      6508.8  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   451)      6509.7  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   452)      6510.7  Rx         0306  8  13 0E 28 0E 0F 0E 13 0E
   453)      6511.6  Rx         0301  8  52 12 00 00 00 01 E3 00
   454)      6512.5  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   455)      6513.5  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   456)      6514.4  Rx         030A  8  DF 0F 00 00 CC 00 E5 00
   457)      6515.4  Rx         0303  8  14 0E 17 0E 00 80 00 80
   458)      6516.3  Rx         030B  8  16 0E 19 0E 14 0E 18 0E
   459)      6517.4  Rx         030C  8  18 0E 00 80 00 80 00 80
   460)      6564.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   461)      6565.0  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   462)      6565.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   463)      6665.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   464)      6665.5  Rx         03FA  8  27 7A 01 00 55 FE FF FF
   465)      6665.8  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   466)      6666.1  Rx         0600  8  17 CA 45 42 86 BF 86 3C
   467)      6666.3  Rx         0610  8  C8 29 68 42 D2 C9 75 3C
   468)      6746.5  Rx         0601  8  F0 E4 E2 42 38 ED EA 3B
   469)      6746.7  Rx         0611  8  ED 2A E3 42 81 31 FB 3B
   470)      6765.8  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   471)      6766.1  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   472)      6766.4  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   473)      6826.8  Rx         0602  8  1B 3F C5 41 D2 45 D7 41
   474)      6827.0  Rx         0612  8  AA 63 C5 41 1B 47 F9 41
   475)      6866.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   476)      6866.7  Rx         03FA  8  27 7A 01 00 4B FE FF FF
   477)      6867.0  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   478)      6907.1  Rx         0603  8  05 3F 29 41 5B F8 3E 40
   479)      6907.4  Rx         0613  8  38 42 27 41 C1 AD 41 40
   480)      6966.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   481)      6967.2  Rx         03FA  8  27 7A 01 00 57 FE FF FF
   482)      6967.5  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   483)      6987.5  Rx         0604  8  CD CC E2 42 00 00 E0 40
   484)      6987.7  Rx         0614  8  CD CC E2 42 00 00 E0 40
   485)      7067.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   486)      7067.8  Rx         0605  8  00 00 00 08 00 01 80 0B
   487)      7068.0  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   488)      7068.3  Rx         0615  8  00 00 00 08 00 01 80 0B
   489)      7068.6  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   490)      7148.2  Rx         0606  8  4A 1D E3 42 6A 3A BD 41
   491)      7148.4  Rx         0616  8  AA 52 E3 42 6B 4A BC 41
   492)      7168.1  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   493)      7168.3  Rx         03FA  8  27 7A 01 00 5B FE FF FF
   494)      7168.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   495)      7268.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   496)      7269.0  Rx         03FA  8  27 7A 01 00 55 FE FF FF
   497)      7269.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   498)      7370.1  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   499)      7370.4  Rx         03FA  8  27 7A 01 00 52 FE FF FF
   500)      7370.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   501)      7371.0  Rx         03F9  8  E2 00 E5 00 02 00 03 00
   502)      7371.3  Rx         0300  8  05 50 00 00 AB 0D 00 00
   503)      7371.6  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   504)      7371.9  Rx         03F7  8  5C 04 00 00 DB 00 01 00
   505)      7372.2  Rx         03F4  8  95 D2 CB 41 8E 3C F0 3E
   506)      7372.5  Rx         03F5  8  00 00 00 00 00 00 00 00
   507)      7372.8  Rx         03FC  8  BA 09 F6 09 CD 03 1F 00
   508)      7373.1  Rx         03FD  8  80 00 00 00 00 00 00 00
   509)      7395.7  Rx         0304  8  CB 0E 00 00 F2 00 E2 00
   510)      7396.6  Rx         0307  8  D1 0E 00 00 E7 00 E4 00
   511)      7397.6  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   512)      7398.5  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   513)      7399.5  Rx         0306  8  13 0E 28 0E 0F 0E 14 0E
   514)      7400.4  Rx         0301  8  52 12 00 00 00 01 E3 00
   515)      7401.3  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   516)      7402.2  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   517)      7403.2  Rx         030A  8  DF 0F 00 00 CD 00 E5 00
   518)      7404.2  Rx         0303  8  14 0E 17 0E 00 80 00 80
   519)      7405.1  Rx         030B  8  16 0E 19 0E 14 0E 18 0E
   520)      7406.1  Rx         030C  8  18 0E 00 80 00 80 00 80
   521)      7469.5  Rx         0600  8  52 50 4E 42 EF E0 84 3C
   522)      7469.7  Rx         0610  8  AA 29 68 42 27 D4 76 3C
   523)      7470.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   524)      7470.3  Rx         03FA  8  27 7A 01 00 54 FE FF FF
   525)      7470.6  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   526)      7549.9  Rx         0601  8  93 97 E2 42 55 F9 F1 3B
   527)      7550.1  Rx         0611  8  BF D8 E2 42 F3 9C FC 3B
   528)      7570.3  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   529)      7570.6  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   530)      7570.9  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   531)      7630.2  Rx         0602  8  0A 3D C5 41 AD 46 D7 41
   532)      7630.4  Rx         0612  8  77 61 C5 41 CD 71 F9 41
   533)      7670.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   534)      7671.2  Rx         03FA  8  37 7A 01 00 57 FE FF FF
   535)      7671.5  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   536)      7710.5  Rx         0603  8  7F CB 29 41 4B F9 3E 40
   537)      7710.7  Rx         0613  8  23 C6 27 41 77 B4 41 40
   538)      7771.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   539)      7771.8  Rx         03FA  8  27 7A 01 00 5F FE FF FF
   540)      7772.1  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   541)      7790.9  Rx         0604  8  CD CC E2 42 00 00 E0 40
   542)      7791.1  Rx         0614  8  CD CC E2 42 00 00 E0 40
   543)      7871.2  Rx         0605  8  00 00 00 08 04 01 80 0C
   544)      7871.5  Rx         0615  8  00 00 00 08 00 01 80 0C
   545)      7872.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   546)      7872.3  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   547)      7872.6  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   548)      7951.5  Rx         0606  8  CB CA E2 42 97 3C BD 41
   549)      7951.8  Rx         0616  8  23 FC E2 42 FB 4C BC 41
   550)      7972.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   551)      7972.9  Rx         03FA  8  37 7A 01 00 57 FE FF FF
   552)      7973.2  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   553)      8073.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   554)      8073.4  Rx         03FA  8  27 7A 01 00 4F FE FF FF
   555)      8073.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   556)      8173.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   557)      8174.0  Rx         03FA  8  27 7A 01 00 57 FE FF FF
   558)      8174.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   559)      8272.9  Rx         0600  8  64 62 45 42 F3 77 86 3C
   560)      8273.1  Rx         0610  8  0A 28 68 42 7B D5 75 3C
   561)      8274.3  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   562)      8274.6  Rx         03FA  8  37 7A 01 00 5B FE FF FF
   563)      8274.9  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   564)      8284.4  Rx         0304  8  CB 0E 00 00 F2 00 E3 00
   565)      8285.4  Rx         0307  8  D1 0E 00 00 E8 00 E5 00
   566)      8286.3  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   567)      8287.2  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   568)      8288.2  Rx         0306  8  13 0E 29 0E 0F 0E 14 0E
   569)      8289.2  Rx         0301  8  52 12 00 00 00 01 E3 00
   570)      8290.1  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   571)      8291.0  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   572)      8291.9  Rx         030A  8  DF 0F 00 00 CD 00 E3 00
   573)      8292.9  Rx         0303  8  14 0E 17 0E 00 80 00 80
   574)      8293.8  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
   575)      8294.9  Rx         030C  8  18 0E 00 80 00 80 00 80
   576)      8353.2  Rx         0601  8  47 37 E3 42 BC A0 E9 3B
   577)      8353.5  Rx         0611  8  8D 77 E3 42 E7 E6 FA 3B
   578)      8375.7  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   579)      8376.0  Rx         03FA  8  37 7A 01 00 5E FE FF FF
   580)      8376.3  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   581)      8376.6  Rx         03F9  8  E3 00 E5 00 01 00 03 00
   582)      8376.9  Rx         0300  8  05 50 00 00 AB 0D 00 00
   583)      8377.2  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   584)      8377.6  Rx         03F7  8  5C 04 00 00 DC 00 01 00
   585)      8377.8  Rx         03F4  8  D2 D2 CB 41 3C 3C F0 3E
   586)      8378.2  Rx         03F5  8  00 00 00 00 00 00 00 00
   587)      8378.5  Rx         03FC  8  BA 09 F6 09 EF 03 1F 00
   588)      8378.8  Rx         03FD  8  80 00 00 00 00 00 00 00
   589)      8433.6  Rx         0602  8  E7 38 C5 41 9B 58 D7 41
   590)      8433.8  Rx         0612  8  E3 62 C5 41 93 61 F9 41
   591)      8475.4  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   592)      8475.7  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   593)      8476.0  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   594)      8514.0  Rx         0603  8  F8 C9 28 41 34 F8 3E 40
   595)      8514.2  Rx         0613  8  09 C2 26 41 67 AF 41 40
   596)      8576.0  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   597)      8576.3  Rx         03FA  8  27 7A 01 00 5C FE FF FF
   598)      8576.6  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   599)      8594.3  Rx         0604  8  CD CC E2 42 00 00 E0 40
   600)      8594.5  Rx         0614  8  CD CC E2 42 00 00 E0 40
   601)      8674.6  Rx         0605  8  00 00 00 08 00 01 80 0D
   602)      8674.9  Rx         0615  8  00 00 00 08 00 01 80 0D
   603)      8676.5  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   604)      8676.9  Rx         03FA  8  37 7A 01 00 57 FE FF FF
   605)      8677.2  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   606)      8754.9  Rx         0606  8  FD 72 E3 42 0C 36 BD 41
   607)      8755.2  Rx         0616  8  50 A6 E3 42 4B 4F BC 41
   608)      8777.1  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   609)      8777.4  Rx         03FA  8  27 7A 01 00 54 FE FF FF
   610)      8777.7  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   611)      8877.6  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   612)      8877.9  Rx         03FA  8  27 7A 01 00 5E FE FF FF
   613)      8878.3  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   614)      8978.2  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   615)      8978.5  Rx         03FA  8  27 7A 01 00 4F FE FF FF
   616)      8978.9  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   617)      9078.8  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   618)      9079.1  Rx         03FA  8  27 7A 01 00 57 FE FF FF
   619)      9079.4  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   620)      9081.5  Rx         0600  8  ED 38 4E 42 DF 43 84 3C
   621)      9081.7  Rx         0610  8  ED 26 68 42 4F DC 76 3C
   622)      9161.8  Rx         0601  8  D5 E7 E2 42 DA 6A F0 3B
   623)      9162.1  Rx         0611  8  70 28 E3 42 B0 49 FC 3B
   624)      9173.2  Rx         0304  8  CB 0E 00 00 F2 00 E3 00
   625)      9174.2  Rx         0307  8  D1 0E 00 00 E8 00 E3 00
   626)      9175.1  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   627)      9176.1  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   628)      9177.0  Rx         0306  8  13 0E 29 0E 0F 0E 14 0E
   629)      9177.9  Rx         0301  8  52 12 00 00 00 01 E4 00
   630)      9178.9  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   631)      9179.4  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   632)      9179.7  Rx         03FA  8  27 7A 01 00 5F FE FF FF
   633)      9180.0  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   634)      9180.2  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   635)      9180.7  Rx         030A  8  DF 0F 00 00 CC 00 E3 00
   636)      9181.7  Rx         0303  8  14 0E 17 0E 00 80 00 80
   637)      9182.6  Rx         030B  8  16 0E 19 0E 14 0E 18 0E
   638)      9183.7  Rx         030C  8  18 0E 00 80 00 80 00 80
   639)      9242.1  Rx         0602  8  AF 3D C5 41 AA 98 D7 41
   640)      9242.4  Rx         0612  8  0F 6C C5 41 9A 5B F9 41
   641)      9279.9  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   642)      9280.2  Rx         03FA  8  27 7A 01 00 5E FE FF FF
   643)      9280.5  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   644)      9322.5  Rx         0603  8  D7 19 29 41 27 FE 3E 40
   645)      9322.7  Rx         0613  8  5F 14 27 41 6F B5 41 40
   646)      9381.4  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   647)      9381.7  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   648)      9382.0  Rx         03F6  8  A9 01 23 FF 82 FC 30 00
   649)      9382.3  Rx         03F9  8  E3 00 E4 00 02 00 01 00
   650)      9382.6  Rx         0300  8  05 50 00 00 AB 0D 00 00
   651)      9382.9  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   652)      9383.2  Rx         03F7  8  5C 04 00 00 DD 00 01 00
   653)      9383.5  Rx         03F4  8  13 D3 CB 41 E6 3B F0 3E
   654)      9383.8  Rx         03F5  8  00 00 00 00 00 00 00 00
   655)      9384.1  Rx         03FC  8  BA 09 F6 09 D0 03 1F 00
   656)      9384.4  Rx         03FD  8  80 00 00 00 00 00 00 00
   657)      9402.9  Rx         0604  8  CD CC E2 42 00 00 E0 40
   658)      9403.1  Rx         0614  8  CD CC E2 42 00 00 E0 40
   659)      9481.1  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   660)      9481.4  Rx         03FA  8  37 7A 01 00 58 FE FF FF
   661)      9481.7  Rx         03F6  8  A9 01 22 FF 82 FC 30 00
   662)      9483.2  Rx         0605  8  00 00 00 08 00 01 80 0E
   663)      9483.4  Rx         0615  8  00 00 00 08 00 01 80 0E
   664)      9563.5  Rx         0606  8  F2 21 E3 42 7E 3D BD 41
   665)      9563.7  Rx         0616  8  BA 55 E3 42 4F 4B BC 41
   666)      9581.6  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   667)      9581.9  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   668)      9582.2  Rx         03F6  8  A9 01 22 FF 82 FC 30 00
   669)      9682.2  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   670)      9682.5  Rx         03FA  8  27 7A 01 00 51 FE FF FF
   671)      9682.8  Rx         03F6  8  A9 01 22 FF 82 FC 30 00
   672)      9782.8  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   673)      9783.1  Rx         03FA  8  37 7A 01 00 53 FE FF FF
   674)      9783.3  Rx         03F6  8  A9 01 22 FF 82 FC 30 00
   675)      9883.3  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   676)      9883.7  Rx         03FA  8  27 7A 01 00 56 FE FF FF
   677)      9883.9  Rx         03F6  8  A9 01 22 FF 82 FC 30 00
   678)      9884.9  Rx         0600  8  9A 99 51 42 A1 0E 81 3C
   679)      9885.1  Rx         0610  8  C3 25 68 42 47 72 75 3C
   680)      9965.2  Rx         0601  8  27 99 E2 42 7B C0 EE 3B
   681)      9965.4  Rx         0611  8  FF D5 E2 42 9B 31 FB 3B
   682)      9983.9  Rx         03F8  8  0A 0E 29 0E 02 01 02 05
   683)      9984.2  Rx         03FA  8  27 7A 01 00 51 FE FF FF
   684)      9984.5  Rx         03F6  8  A9 01 22 FF 82 FC 30 00
   685)     10045.6  Rx         0602  8  C6 38 C5 41 BB 86 D7 41
   686)     10045.8  Rx         0612  8  4C 73 C5 41 B8 EB F8 41
   687)     10062.0  Rx         0304  8  CB 0E 00 00 F2 00 E3 00
   688)     10063.0  Rx         0307  8  D1 0E 00 00 E8 00 E3 00
   689)     10063.9  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   690)     10064.9  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   691)     10065.8  Rx         0306  8  13 0E 28 0E 0F 0E 14 0E
   692)     10066.8  Rx         0301  8  52 12 00 00 00 01 E4 00
   693)     10067.7  Rx         0309  8  14 0E 19 0E 18 0E 15 0E
   694)     10068.6  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   695)     10069.6  Rx         030A  8  DF 0F 00 00 CC 00 E3 00
   696)     10070.5  Rx         0303  8  14 0E 17 0E 00 80 00 80
   697)     10071.4  Rx         030B  8  16 0E 19 0E 14 0E 18 0E
   698)     10072.5  Rx         030C  8  18 0E 00 80 00 80 00 80
   699)     10084.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   700)     10084.8  Rx         03FA  8  27 7A 01 00 5A FE FF FF
   701)     10085.1  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   702)     10125.9  Rx         0603  8  0E A3 28 41 28 F5 3E 40
   703)     10126.1  Rx         0613  8  2E 9A 26 41 29 AD 41 40
   704)     10185.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   705)     10185.3  Rx         03FA  8  27 7A 01 00 5D FE FF FF
   706)     10185.6  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   707)     10206.3  Rx         0604  8  CD CC E2 42 00 00 E0 40
   708)     10206.5  Rx         0614  8  CD CC E2 42 00 00 E0 40
   709)     10285.6  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   710)     10285.9  Rx         03FA  8  27 7A 01 00 58 FE FF FF
   711)     10286.2  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   712)     10286.6  Rx         0605  8  00 00 00 08 05 01 80 0F
   713)     10286.9  Rx         0615  8  00 00 00 08 00 01 80 0F
   714)     10366.9  Rx         0606  8  32 CF E2 42 B8 37 BD 41
   715)     10367.1  Rx         0616  8  B5 FC E2 42 A7 53 BC 41
   716)     10387.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   717)     10387.3  Rx         03FA  8  27 7A 01 00 5C FE FF FF
   718)     10387.6  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   719)     10387.9  Rx         03F9  8  E3 00 E4 00 02 00 01 00
   720)     10388.2  Rx         0300  8  05 50 00 00 AB 0D 00 00
   721)     10388.5  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   722)     10388.8  Rx         03F7  8  5C 04 00 00 DE 00 01 00
   723)     10389.1  Rx         03F4  8  52 D3 CB 41 92 3B F0 3E
   724)     10389.4  Rx         03F5  8  00 00 00 00 00 00 00 00
   725)     10389.7  Rx         03FC  8  BA 09 F6 09 AE 03 1F 00
   726)     10390.1  Rx         03FD  8  80 00 00 00 00 00 00 00
   727)     10486.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
